model,attribute,group,threshold,n,events,non_events,tp,fp,tn,fn,flagged_n,flagged_rate,small_event_count,small_non_event_count,tpr,tpr_ci_low,tpr_ci_high,fpr,fpr_ci_low,fpr_ci_high
gradient_boosting,gender,Female,0.2,37462,3368,34094,469,1263,32831,2899,1732,0.046233516630185253,False,False,0.13925178147268408,0.12796989574202533,0.15135565094310982,0.03704464128585675,0.03509141465855633,0.03910218090601731
gradient_boosting,gender,Female,0.25,37462,3368,34094,292,646,33448,3076,938,0.025038705888633817,False,False,0.08669833729216152,0.07765964986802006,0.09667875423544346,0.018947615416202265,0.01755366466604217,0.020449956776847605
gradient_boosting,gender,Male,0.05,32961,2923,30038,2649,24151,5887,274,26800,0.8130821273626407,False,False,0.9062606910708176,0.8951547028205238,0.9163002507241598,0.8040149144417071,0.7994870910245243,0.8084649889115555
gradient_boosting,gender,Male,0.1,32961,2923,30038,1362,7556,22482,1561,8918,0.2705621795455235,False,False,0.46595963051659256,0.4479321088918683,0.48407650763217736,0.25154803915040946,0.24667314439064247,0.25648647315612005
gradient_boosting,gender,Male,0.15,32961,2923,30038,672,2348,27690,2251,3020,0.09162343375504384,False,False,0.22990078686281218,0.21500741010962612,0.24550317024950855,0.07816765430454757,0.07518565621875309,0.08125753203463396
gradient_boosting,gender,Male,0.2,32961,2923,30038,392,1031,29007,2531,1423,0.043172233852128275,False,False,0.13410879233664044,0.12223418242931848,0.14694386151506972,0.03432319062520807,0.03232316886158482,0.03644230484123093
gradient_boosting,gender,Male,0.25,32961,2923,30038,256,479,29559,2667,735,0.022299080731773915,False,False,0.08758125213821416,0.07786704622768442,0.09837805145811268,0.015946467807443906,0.014590480099560278,0.017426247641284795
gradient_boosting,age_band,[0-10),0.05,153,3,150,1,23,127,2,24,0.1568627450980392,True,False,0.3333333333333333,0.06149194472039626,0.7923403991979523,0.15333333333333332,0.10439953770520069,0.21957983172333242
gradient_boosting,age_band,[0-10),0.1,153,3,150,1,4,146,2,5,0.032679738562091505,True,False,0.3333333333333333,0.06149194472039626,0.7923403991979523,0.02666666666666667,0.010417940822967986,0.06655389051214454
gradient_boosting,age_band,[0-10),0.15,153,3,150,1,1,149,2,2,0.013071895424836602,True,False,0.3333333333333333,0.06149194472039626,0.7923403991979523,0.006666666666666667,0.001177801335017433,0.03679283977481816
gradient_boosting,age_band,[0-10),0.2,153,3,150,1,0,150,2,1,0.006535947712418301,True,False,0.3333333333333333,0.06149194472039626,0.7923403991979523,0.0,0.0,0.02497024436807661
gradient_boosting,age_band,[0-10),0.25,153,3,150,0,0,150,3,0,0.0,True,False,0.0,0.0,0.5614970317550455,0.0,0.0,0.02497024436807661
