outcome,term,odds_ratio,ci_low,ci_high,p_value,p_adj_bh
has_cardiac,age_band_7,5.04944964495575,3.483796584069594,7.31872286503006,1.2211477510838067e-17,2.7791638472941806e-17
has_cardiac,age_band_8,6.278194025415524,4.337360929544117,9.087489111704153,2.1125257595749283e-22,5.690885719671236e-22
has_cardiac,age_band_9,8.577886369627771,5.930600649623211,12.406860437470309,3.5757503798624406e-30,1.1238072622424814e-29
has_cardiac,age_band_10,11.432582822450305,7.905246735127905,16.533822962335535,2.5567338366232577e-38,8.653560677801795e-38
has_cardiac,age_band_11,15.143929830158967,10.46831073875968,21.90789100782381,3.601552315372649e-47,1.3982497224387932e-46
has_cardiac,age_band_12,17.87004263985579,12.345069047179681,25.86769038956645,1.0734009109042919e-52,4.2936036436171676e-52
has_cardiac,age_band_13,23.682884989146658,16.366725667450563,34.26947165886699,3.0428572324291176e-63,1.4344898381451554e-62
has_cardiac,gen_health_2,1.5394981127845557,1.4330633428493513,1.6538378788999257,3.736967386749453e-32,1.2031212074412874e-31
has_cardiac,gen_health_3,2.761843204162512,2.575831585418132,2.961287503251281,2.334882030685528e-179,2.3708032926960746e-178
has_cardiac,gen_health_4,4.778559176722746,4.431856159470601,5.15238468573602,0.0,0.0
has_cardiac,gen_health_5,7.544914677114248,6.905272830577632,8.243807142978897,0.0,0.0
has_cardiac,education_2,0.8543659271204309,0.5446089138852696,1.3403033237500905,0.49328771078097455,0.5613273950266262
has_cardiac,education_3,0.9662763098140864,0.6186211266993669,1.509308147766632,0.88015619948808,0.9006249483133841
has_cardiac,education_4,0.9448103456936234,0.6066455474715423,1.471479668894428,0.8016983819125706,0.8538706075909639
has_cardiac,education_5,1.0369419763858287,0.665678512156203,1.615267193931354,0.8725546028641723,0.8998219342036776
has_cardiac,education_6,0.9454937824237822,0.6067905867655354,1.4732570216147025,0.8043818735724902,0.8538706075909639
has_cardiac,income_band_2,0.9831464015443478,0.9084889312045363,1.0639390461125893,0.6731509141914781,0.7404660056106259
has_cardiac,income_band_3,0.9344149402654852,0.8652426787954145,1.0091172129961483,0.0838669785332136,0.10853373692533524
has_cardiac,income_band_4,0.8903214255585394,0.8253060116178595,0.9604585809991895,0.0026754157114118747,0.003880822790179862
has_cardiac,income_band_5,0.8350358144977247,0.7745820382358881,0.9002078244441942,2.5790390039339507e-06,4.309280361003563e-06
has_cardiac,income_band_6,0.7944852178495255,0.7375325358380709,0.8558358183671949,1.3450445042338335e-09,2.536369636555229e-09
has_cardiac,income_band_7,0.7720893666802738,0.7157332317816775,0.832882928541431,2.2517756244947525e-11,4.3710938593133434e-11
has_cardiac,income_band_8,0.7054182441677158,0.6542652080104637,0.7605706265779377,1.0298993630538721e-19,2.5175317763539093e-19
